feature,anova_f,mutual_info,rf_importance,combined
Ch2_inst_freq_mean_MHz,1490.4154923434414,0.6999196799568583,0.005527141731399042,0.12368165844139717
Ch1_wide4_40-50MHz,2684.375327020652,0.8069878984496692,0.0012483306425861618,0.12345753324874616
Ch1_rms,2622.9032715741982,0.8138944617418962,0.000894010214584581,0.12305313261515509
Ch1_decay_rate,3173.1863679522826,0.7965393217360708,0.0013687921502054472,0.12273091405186588
Ch2_phase_range,432.98889958826106,0.8274548356869165,0.0005410222113353582,0.12223626268978227
Ch1_energy,1987.2783559997338,0.8139045190221603,0.0005805637527017945,0.12144123785706716
Ch1_dwt_detail_L3_energy,3072.037965652544,0.7443655388328034,0.0026689664428817153,0.1201398175400099
Ch1_wide1_5-15MHz,2802.8244069098982,0.7898312711872948,0.0007948038490665124,0.11932347810366412
Ch2_dwt_detail_L4_energy,2007.9818703355306,0.7117436304688796,0.003809424836523129,0.119129272259219
Ch1_wide3_25-40MHz,2826.3197248629685,0.786989542624716,0.0007772472628570117,0.11886207210928453
Ch1_spectral_flatness,10355.062627605097,0.759124332066178,0.0005240566851908067,0.11874435483401398
Ch1_dwt_detail_L1_energy,2449.7594378779186,0.7865676743375531,0.000695508084207423,0.11824433584055176
Ch1_inst_freq_mean_MHz,5325.234466394253,0.742301539703103,0.001842729904314746,0.11812931230060013
Ch1_dwt_detail_L1_std,4958.30322026521,0.7773626590916352,0.0004110084615103689,0.11744877645577344
Ch2_tail_energy_ratio,6911.9283392115985,0.6573692104106534,0.00436421661674708,0.11659697422139599
Ch1_dwt_detail_L3_std,6499.466661039079,0.7348483108820583,0.0012526715253295302,0.11555132230906502
Ch2_wide1_5-15MHz,317.46190820109433,0.7713322470255672,0.0008022052994829859,0.11508129504354168
Ch2_dwt_detail_L1_std,3600.8142869347134,0.6420455408827146,0.004962763917524763,0.11454614608153564
Ch2_dwt_detail_L4_std,3797.2450096716243,0.7087126435825777,0.0022921270186436397,0.11402849445451374
Ch2_inst_freq_std_MHz,1840.601355406204,0.6704620757741293,0.003904535246641068,0.11344095205338729
Ch1_dwt_approx_energy,1799.1728741384707,0.7455407784309327,0.0005944937166227204,0.11152795200131267
Ch2_phase_std,514.7022635912873,0.754196098024777,0.00042573861605193255,0.11129674629284954
Ch1_dwt_detail_L2_energy,2531.568566547979,0.6789403682846791,0.002588230837888101,0.11005878626059429
Ch1_inst_freq_std_MHz,4301.430620676514,0.7174108504513943,0.0006730643954529927,0.10939578694511848
Ch1_dwt_detail_L2_std,4514.643599378866,0.6745273232005409,0.0021863469951396556,0.10916334234356927
xcorr_peak,1327.6390920610022,0.6995222298089363,0.001223647726011793,0.10700961400390264
Ch2_dwt_detail_L1_energy,2131.9207532025707,0.6392325830413612,0.0032935820005847998,0.10678805132079688
Ch2_band3_10-15MHz,250.70453633906104,0.6573387392279777,0.0002063164256618283,0.096335793604513
Ch1_env_mean,2975.502056981471,0.5957525429847843,0.0006755278885088406,0.09102802657385674
Ch2_dwt_detail_L3_std,2067.558450256634,0.4780221199218442,0.004612131837546805,0.08858873722557709
Ch1_spectral_centroid_MHz,2589.031400488562,0.5748794506932957,0.0004962253258386591,0.08708439686429374
Ch2_dwt_detail_L2_std,3971.4580128378966,0.4554884875290668,0.004608078926807251,0.08655875740911996
Ch2_dwt_detail_L3_energy,1361.3970779191318,0.484803972506628,0.00329511220709392,0.08405643181836638
Ch1_band3_10-15MHz,1354.295803897891,0.545280950144273,0.0003840416405230539,0.08159339153060742
Ch2_zcr,946.2829792380487,0.546245233477392,0.00015760974949936873,0.08059985797145129
Ch2_dwt_detail_L2_energy,2509.884850040286,0.4527167024831087,0.0032903502718813625,0.080159611802051
xcorr_width_us,508.7300545646036,0.48026104677219905,0.0006759535825711601,0.07280310816238793
Ch1_spectral_entropy,859.7770418608219,0.3932120293525365,0.0009773925145188517,0.061650415107114255
Ch1_zcr,565.8912970361777,0.2543234323796528,0.005550104335347743,0.05900134982015468
phase_diff_at_peak,581.0975252321497,0.13737897817840894,0.0003203590499729616,0.02210689294183814
Ch2_peak_freq_MHz,9.573799231045902,0.13854856579905217,5.257528441575326e-05,0.020878594578576576
coherence_hi_10-50MHz,28978.612543988198,0.0,4.273718808972273e-06,0.019466056115387594
Ch1_spectral_rolloff_MHz,555.1307700294823,0.12497059012756395,3.1605868825875193e-07,0.01907537483380534
Ch1__t19,0.0,0.007985686460425079,0.0,0.0018682089622558521
Ch1__t20,0.0,0.004498418695461304,0.0,0.001366003759552141
Ch1__f12,0.0,0.002206922305842518,0.0,0.001036002885972742
Ch1_peak_freq_MHz,0.0,0.0011811660270759639,0.0,0.0008882826147970892
Ch1__t18,0.0,0.0008378338674841501,0.0,0.0008388389791420276
Ch2__t19,0.0,0.0004950173344244746,0.0,0.0007894695994215673
coherence_lo_0-10MHz,0.0,0.0,5.097417788682508e-06,0.000737736955432884
Ch1__f14,0.0,0.0,0.0,0.0007181816176743222
Ch2__t18,0.0,0.0,0.0,0.0007181816176743222
Ch2__t20,0.0,0.0,0.0,0.0007181816176743222
Ch1__f13,0.0,0.0,0.0,0.0007181816176743222
Ch2__f13,0.0,0.0,0.0,0.0007181816176743222
Ch2__f14,0.0,0.0,0.0,0.0007181816176743222
Ch2__f12,0.0,0.0,0.0,0.0007181816176743222
